uid,用户昵称,id,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
7214785059,只求俯仰无愧于心,4410925123159880,我刚使用会员特权送给了@UNIQ-王一博 3朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！UNIQ-王一博已收到241747朵花 ,,,,2019-08-30,明星势力榜鲜花,0,0,0,,UNIQ-王一博
7214785059,只求俯仰无愧于心,4410759330686925,#爱豆糖果色卫衣大赏#王一博这糖果超级的甜～ ,https://wx4.sinaimg.cn/large/007SgvaXgy1g6gxtlvy72j30qy1390wv.jpg,,,2019-08-29,索尼Xperia™ XZ Premium,0,0,0,爱豆糖果色卫衣大赏,
﻿7214785059,只求俯仰无愧于心,4407133854587456,肖战！不过这样比较其实不太公平，肖战除了颜值以外，年长也让他用智慧加了不少分，所以其实很难比较啦～ 你们觉得王源好看还是肖战好看? ,,,,2019-08-19,索尼Xperia™ XZ Premium,6,0,0,,
﻿7214785059,只求俯仰无愧于心,4405188074885005,我覺得最意難平的就是還沒看夠藍忘機和魏無羨互動，我覺得還可以讓他們兩人一起花點時間在江湖遊歷，因為他們兩人的互動真是太可愛了…再來就是這部劇角色那麼多，所以應該有很多支線可以發展，像小輩們就可以發展出很好的故事線，而且大家也都會很有興趣看的…反正最重要的就是我覺得沒看夠啦～應該要繼續演下去不要結束啦～ 追《陈情令》至今，你的心中多了哪些意难平？,,,,2019-08-14,蕾秋的…Android,0,0,0,,
7214785059,只求俯仰无愧于心,4404496690409187,以王一博的年紀和資歷來說，他的演技真的算很不錯的，他真的有很用心的揣摩角色的心情，所以才能很容易帶觀眾入戲，這點和肖戰一樣…剛開始入陳情令的坑是因為肖戰演的魏無羨，肖戰的古裝造型真的帥到令人讚嘆，很容易讓人一眼就入坑。那時看到王一博的藍忘機造型則是讓我搖頭嘆息，覺得王一博還是時裝造型好看多了，那知道追了幾集以後就覺得藍忘機真的是超仙、超美的，我覺得是因為王一博的演技讓大家覺得吸引人，我個人特別愛跪雪領罰那一段，藍忘機看起來真的是脫俗絕美…真的感謝陳情令讓我過了一個有趣的暑假，也讓我認識到肖戰和王一博這兩個年輕的好演員，期待他們未來的表現～ 陈情令雅正蓝忘机为无羡心痛落泪，王一博的演技有让你入戏吗？,,,,2019-08-12,索尼Xperia™ XZ Premium,0,0,0,,
7214785059,只求俯仰无愧于心,4404486900385789,看年紀吧～若是有2、30歲沒結婚，沒孩子，卻說自己是媽媽粉，說只是把愛豆當孩子誰會信？但若都4、50歲了可是仍會去追星，這種媽媽粉肯定就是把愛豆當自己孩子看啦，因為自己的孩子也的確差不了幾歲了吧？你說是不？至於現在很多年輕小妹妹都自稱為媽媽粉…我是不太理解她們如此做的動機啦，或許是希望自己能像媽媽一樣保護自己的愛豆吧？認為這樣比較能得到愛豆的注意吧？ 粉丝自称妈妈粉是什么心理？真的把爱豆当孩子吗？,,,,2019-08-12,索尼Xperia™ XZ Premium,0,0,0,,
7214785059,只求俯仰无愧于心,4404484077530354,很可愛啊～一博的個性原本就是一直男，怕麻煩的很。雖然順手扶一下是很簡單的事，但要考慮到對方的想法和所有旁觀者們的想法就是件很複雜又麻煩的事了，所以在那種情況下什麼都不要做反而是最單純的，所以一博當然會選擇最單純的處理方式啦～讓人一點兒都不意外！ 极限青春开播你有收看吗？王一博实力诠释钢铁直男，是否觉得可爱？ ,,,,2019-08-12,索尼Xperia™ XZ Premium,0,0,0,,
7214785059,只求俯仰无愧于心,4404477933112656,"#粉丝认证号# 我刚刚通过会员特权领取了#肖战##粉丝认证号# No.3001741, 马上领取粉丝认证号，官方盖章你值得拥有！粉丝认证号：肖战 ",,,,2019-08-12,微博会员中心,0,0,0,"粉丝认证号,肖战,粉丝认证号",
﻿7214785059,只求俯仰无愧于心,4397764123293686,陳情令，之前沒有特別注意到肖戰… 你喜欢肖战吗?你是从哪一部剧喜欢上的？ ,,,,2019-07-25,索尼Xperia™ XZ Premium,0,0,0,,
7214785059,只求俯仰无愧于心,4397763725165699,忘羨cp 天天向上下期肖战王一博合体发糖，你最期待谁的综艺表现？ ,,,,2019-07-25,索尼Xperia™ XZ Premium,0,0,0,,
7214785059,只求俯仰无愧于心,4397571407304109,旭鳳和錦覓 迄今为止，影视剧中你嗑过最上头的cp是哪一对？ ,,,,2019-07-24,索尼Xperia™ XZ Premium,0,0,0,,
